,INCIDENT_ID,DATA_YEAR,ORI,PUB_AGENCY_NAME,PUB_AGENCY_UNIT,AGENCY_TYPE_NAME,STATE_ABBR,STATE_NAME,DIVISION_NAME,REGION_NAME,POPULATION_GROUP_CODE,POPULATION_GROUP_DESC,INCIDENT_DATE,ADULT_VICTIM_COUNT,JUVENILE_VICTIM_COUNT,TOTAL_OFFENDER_COUNT,ADULT_OFFENDER_COUNT,JUVENILE_OFFENDER_COUNT,OFFENDER_RACE,OFFENDER_ETHNICITY,VICTIM_COUNT,OFFENSE_NAME,TOTAL_INDIVIDUAL_VICTIMS,LOCATION_NAME,BIAS_DESC,VICTIM_TYPES,MULTIPLE_OFFENSE,MULTIPLE_BIAS
442,346,1991,IL0100700,University of Illinois:,Urbana,University or College,IL,Illinois,East North Central,Midwest,7,"Cities under 2,500",03-JUL-91,,,0,,,Unknown,,2,Intimidation,2.0,School/College,Anti-Black or African American,Individual,S,S
443,2945,1991,IL0163300,Evergreen Park,,City,IL,Illinois,East North Central,Midwest,5,"Cities from 10,000 thru 24,999",14-SEP-91,,,1,,,Black or African American,,1,Murder and Nonnegligent Manslaughter,1.0,Parking/Drop Lot/Garage,Anti-White,Individual,S,S
444,347,1991,IL0169B00,Wheeling,,City,IL,Illinois,East North Central,Midwest,4,"Cities from 25,000 thru 49,999",14-FEB-91,,,1,,,White,,1,Simple Assault,1.0,School/College,Anti-Black or African American,Individual,S,S
445,348,1991,IL0190000,DeKalb,,County,IL,Illinois,East North Central,Midwest,8C,"Non-MSA counties from 10,000 thru 24,999",19-JUL-91,,,0,,,Unknown,,1,Destruction/Damage/Vandalism of Property,1.0,Residence/Home,Anti-Black or African American,Individual,S,S
446,349,1991,IL0490000,Lake,,County,IL,Illinois,East North Central,Midwest,9A,"MSA counties 100,000 or over",16-AUG-91,,,3,,,White,,2,Destruction/Damage/Vandalism of Property;Simple Assault,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-Black or African American,Individual,M,S
447,350,1991,IL0730100,Du Quoin,,City,IL,Illinois,East North Central,Midwest,6,"Cities from 2,500 thru 9,999",16-OCT-91,,,1,,,White,,6,Intimidation,6.0,Other/Unknown,Anti-Black or African American,Individual,S,S
448,351,1991,IL0810300,Coal Valley,,City,IL,Illinois,East North Central,Midwest,6,"Cities from 2,500 thru 9,999",08-SEP-91,,,1,,,White,,1,Intimidation,1.0,Residence/Home,Anti-Black or African American,Individual,S,S
449,352,1991,IL0990000,Will,,County,IL,Illinois,East North Central,Midwest,9A,"MSA counties 100,000 or over",12-JUN-91,,,0,,,Unknown,,1,Destruction/Damage/Vandalism of Property,0.0,Highway/Road/Alley/Street/Sidewalk,Anti-Jewish,Society/Public,S,S
450,353,1991,IL0990000,Will,,County,IL,Illinois,East North Central,Midwest,9A,"MSA counties 100,000 or over",27-JUL-91,,,0,,,Unknown,,2,Intimidation,2.0,Residence/Home,Anti-Black or African American,Individual,S,S
451,354,1991,IL0990000,Will,,County,IL,Illinois,East North Central,Midwest,9A,"MSA counties 100,000 or over",13-JUL-91,,,0,,,Unknown,,1,Intimidation,1.0,Residence/Home,Anti-Black or African American,Individual,S,S
452,355,1991,IL0992400,Governors State University,,University or College,IL,Illinois,East North Central,Midwest,7,"Cities under 2,500",11-JUN-91,,,1,,,White,,1,Intimidation,1.0,School/College,Anti-Black or African American,Individual,S,S
453,198,1991,ILCPD0000,Chicago,,City,IL,Illinois,East North Central,Midwest,1A,"Cities 1,000,000 or over",02-JAN-91,,,1,,,Unknown,,1,Destruction/Damage/Vandalism of Property,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-Black or African American,Individual,S,S
454,199,1991,ILCPD0000,Chicago,,City,IL,Illinois,East North Central,Midwest,1A,"Cities 1,000,000 or over",04-JAN-91,,,1,,,Unknown,,1,Destruction/Damage/Vandalism of Property,1.0,Residence/Home,Anti-Black or African American,Individual,S,S
455,200,1991,ILCPD0000,Chicago,,City,IL,Illinois,East North Central,Midwest,1A,"Cities 1,000,000 or over",16-JAN-91,,,1,,,Black or African American,,1,Simple Assault,1.0,Liquor Store,Anti-Arab,Individual,S,S
456,201,1991,ILCPD0000,Chicago,,City,IL,Illinois,East North Central,Midwest,1A,"Cities 1,000,000 or over",17-JAN-91,,,0,,,Unknown,,1,Intimidation,1.0,Liquor Store,Anti-Arab,Individual,S,S
457,202,1991,ILCPD0000,Chicago,,City,IL,Illinois,East North Central,Midwest,1A,"Cities 1,000,000 or over",22-JAN-91,,,0,,,Unknown,,1,Destruction/Damage/Vandalism of Property,1.0,Residence/Home,Anti-Jewish,Individual,S,S
458,203,1991,ILCPD0000,Chicago,,City,IL,Illinois,East North Central,Midwest,1A,"Cities 1,000,000 or over",23-JAN-91,,,1,,,Black or African American,,1,Aggravated Assault,1.0,Field/Woods,Anti-White,Individual,S,S
459,204,1991,ILCPD0000,Chicago,,City,IL,Illinois,East North Central,Midwest,1A,"Cities 1,000,000 or over",29-JAN-91,,,1,,,Black or African American,,1,Simple Assault,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-White,Individual,S,S
460,205,1991,ILCPD0000,Chicago,,City,IL,Illinois,East North Central,Midwest,1A,"Cities 1,000,000 or over",31-JAN-91,,,0,,,Unknown,,1,Intimidation,1.0,Church/Synagogue/Temple/Mosque,Anti-Jewish,Individual,S,S
461,206,1991,ILCPD0000,Chicago,,City,IL,Illinois,East North Central,Midwest,1A,"Cities 1,000,000 or over",01-FEB-91,,,8,,,White,,5,Aggravated Assault,5.0,Highway/Road/Alley/Street/Sidewalk,Anti-Black or African American,Individual,S,S
462,207,1991,ILCPD0000,Chicago,,City,IL,Illinois,East North Central,Midwest,1A,"Cities 1,000,000 or over",01-FEB-91,,,1,,,Black or African American,,1,Aggravated Assault,1.0,Convenience Store,Anti-Arab,Individual,S,S
463,208,1991,ILCPD0000,Chicago,,City,IL,Illinois,East North Central,Midwest,1A,"Cities 1,000,000 or over",04-FEB-91,,,4,,,Black or African American,,2,Aggravated Assault,2.0,Highway/Road/Alley/Street/Sidewalk,Anti-Lesbian (Female),Individual,S,S
464,209,1991,ILCPD0000,Chicago,,City,IL,Illinois,East North Central,Midwest,1A,"Cities 1,000,000 or over",07-FEB-91,,,3,,,White,,3,Simple Assault,3.0,Highway/Road/Alley/Street/Sidewalk,Anti-Arab,Individual,S,S
465,210,1991,ILCPD0000,Chicago,,City,IL,Illinois,East North Central,Midwest,1A,"Cities 1,000,000 or over",08-FEB-91,,,0,,,Unknown,,1,Intimidation,1.0,Convenience Store,Anti-Arab,Individual,S,S
466,211,1991,ILCPD0000,Chicago,,City,IL,Illinois,East North Central,Midwest,1A,"Cities 1,000,000 or over",17-FEB-91,,,1,,,Black or African American,,1,Simple Assault,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-Arab,Individual,S,S
467,212,1991,ILCPD0000,Chicago,,City,IL,Illinois,East North Central,Midwest,1A,"Cities 1,000,000 or over",20-FEB-91,,,5,,,White,,1,Simple Assault,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-Arab,Individual,S,S
